כןפ הילד הפנימי נחשבת טכניקה א שזה ו יש יש חצי זמן כן יש
0:1414 שניותאורגנים הרמה יש לנו כאילו הפרדה בין טכניקות
0:2323 שניותלכלים כן וש גם לא
0:3636 שניותא צי העו זמן
0:4040 שניות[מוזיקה]
1:231 דקה, 23 שניות‏k
46:2046 דקות, 20 שניותאני בן אדם בריא אוקיי אני בן אדם בריא אני אשים לה כאן גלימה אוקיי אני בן אדם בריא אני שמח אני רואה את עצמי בצורה טובה
46:2946 דקות, 29 שניותאני דמיתי את עצמי אז שעשית שכאילו כן כן זה קלאסי זה מעולה תמונה אבל שמדברת תמונה שכשאת רואה אותה את מרגישה משהו טוב אוקיי
46:3946 דקות, 39 שניותכאן זה חשוב אני רוצה לייצר תמונת חזון באמת באמת טובה כן אני יכול ללכת איתה לרמה אפילו יותר גבוהה של איזה מין אמא את
46:4646 דקות, 46 שניותהיא איזה מין בת זוג את היא כמה שיותר ללכת לרמה הגבוהה יותר של החזון של מה יקרה במצב הרצוי ואז יש לנו שתי תמונות יש
46:5546 דקות, 55 שניותלנו תמונת מצוי תמונת רצוי אוקיי אני אוהב גם לתת להם שמות אם היה לזה שם נגיד שהיה לזה שם איזה שם זה היה מי זוכר היה פנטוקי
47:0447 דקות, 4 שניותפנטוקי והשנייה אספ אוקיי אוקיי ואז אמרתי לה מעולה כל מה
47:1447 דקות, 14 שניותשאנחנו צריכים עכשיו לעשות זה ליאל אמר כל מה שצריך לעשות אני רוצה שתייני את התמונה הזאת של הגלידה אוקיי תדמייני אותה בגדול
47:2347 דקות, 23 שניותובצד תשימי את התמונה הקטנה של unstable אוקיי שימי כאן את התמונה הקטנה הזאת ואז מה שצריך לקרות אני אוהב להגיד בעוד רגע
47:3247 דקות, 32 שניותאני אספור מאחד עד שלוש כשיגיע לספרה שלוש מה שייקרה התמונה הקטנה פשוט תשתלט על כל התמונה הגדולה ותנ אותה לרסיסים ותתפוס את
47:4147 דקות, 41 שניותמקומה אוקיי בעוד רגע אני אספור מאחד עד שלוש כשאגיע לספרה שלוש התמונה הקטנה פשוט תגדל ותנ את כל התמונה הגדולה ותיקח את
47:4947 דקות, 49 שניותהמקום שלה אוקיי ואז היא אומרת לי סבבה מעולה 1 2 3 עכשיו בסוויץ אני אומר את זה
47:5747 דקות, 57 שניותגם אני יותר אוהב שהסוס הוא מאוד סוויש אוקיי אני אוהב להכניס את הבן אדם סוויש
48:0348 דקות, 3 שניותממש ירגיש ששמע שיצעק את זה שהכל יהיה לו בתוך הגוף אוקיי אני אוהב שהסוס הזה יהיה כמה שיותר חזק הדבר הזה עוזר להטמיע את זה
48:1248 דקות, 12 שניותיותר עמוק בלא מודע אוקיי אז אגב זה זה לא שזה לא עובד זה פשוט עובד קצת יותר חזק
48:1848 דקות, 18 שניותאין השפעה דרסטית בסדר ואז מה שקורה 1 2 ש סווש התמונה הזאת פשוט מנפצת את התמונה הזאת ומה שקורה
48:2748 דקות, 27 שניותנוצרת לנו תמונה רק עם התמונת חזון אוקיי ואז אני אומר מעולה תתרכזי בתמונה הזאת כמה רגעים תרגישי אותה מסך
48:3748 דקות, 37 שניותלבן ואז שוב פעם אוקיי אלה אלה הסדר שלבים האם יש למישהו שאלות על זה יש לי שאלה
48:4548 דקות, 45 שניותאוקיי ורגע משהו אחרון ואז אני נותן זמן לשאלות אני יותר אוהב בסוף במקום להגיד אני רוצה
48:5348 דקות, 53 שניותשתדירות שלא תצליחי את יכו לנסות רגע לדמיין אותה זאת אומרת אני יותר מערער את הלא מודה בזה שהיא תוכל לדמיין את התמונה
49:0349 דקות, 3 שניותשל המצב הרצוי שה מצוי בדיוק את יכולה את יכולה לנסות לדמיין בכלל את התמונה את יכולה לראות אותה או רק אותה זאת אומרת אני לא
49:1149 דקות, 11 שניותרוצה לתת פקודה ללא מודע של אני רוצה שתייני את זה כי אם אני בסמכות טובה אז יכול להיות שהיא דווקא כן בכוונה תרצה
49:1949 דקות, 19 שניותלדמיין אבל כאן אני ארצה יותר להרר ולהגיד את יכולה לנסות לדמיין את זה את תראי גם שכנראה לא תצליחי אבל את יכולה לנסות ואז
49:2649 דקות, 26 שניותעוד יותר אני מערער את זה שאי אפשר לעשות את זה יס היו שאלות רוטם א כן זה פועל גם בהתמחות של סיגריות וכאלה או ש זה יותר
49:3549 דקות, 35 שניותחזק לא תמיד אבל אני מכיר מישהו שעשה את הטכניקה הזאת לסיגריות ובאמת נגמל כן כי הרבה פעמים בטכניקות יש גם עניין של
49:4349 דקות, 43 שניותאקולוגיה אם אם אין בעיית אקולוגיה גדולה מדי הטכניקה הזאת נהדרת היא גם לוקחת בערך ח 10 דקות א אז גם על סיגריות זה יכול
49:5349 דקות, 53 שניותלעבוד יס זה כן הרגיש לי ש הס בה לג א הרבה פעמים דווקא יצא לי לעשות את
50:0250 דקות, שתי שניותהטכניקה הזאת עם בן אדם שחשבתי שיש לו בעיה אקולוגיה על זה וראיתי שזה עבד מעולה זאת אומרת אם לא מקסימום 10 דקות אנחנו
50:1150 דקות, 11 שניותשרפנו על זה ואז אנחנו נעשה טכניקה אחרת כמו סיקס טפ אולי ציר זמן אבל כאן אם יש לבן אדם משהו ברמות האסטרטגיה שלו שצריך
50:2050 דקות, 20 שניותלבוא ולשנות אז דווקא הטכניקה הזאתי נכנסת בצורה מאוד מאוד חזקה זה גם כאילו כן אבל איך אתה יודע אם זה ד או ש לעבור לטכניקה
50:2850 דקות, 28 שניותשבוע הבא שבוע הבא זאת אומרת הטכניקה הזאת ה היא מאוד חזקה גם אם היא לא עובדת ב100 א היא עובד היא עובדת עדיין
50:3650 דקות, 36 שניותא זה טכניקה שהיא באמת אני אומר לכם בכנות זה אחת הטכניקות שאני יכול להגיד לכם ם כמה שהיא נראית פשוטה היא עובדת בצורה
50:4450 דקות, 44 שניותפנומנלית א לא עדיף לתת שם מאפן לזה נפן טוקי זה
50:5150 דקות, 51 שניותכיף כזה זה כאילו אפשר מהמפה של לא בכר לדעת מה זה כאילו אפשר להגיד לה לתת איזה
50:5950 דקות, 59 שניותשם אפשר לקרוא לזה למשל לתת שם להרגל ואז השם של ההרגל יהיה יותר קשה זה בגדול לגבי
51:0651 דקות, 6 שניותלגבי השמות לא קריטי לי הפנ טוקי יותר קריטי לי הוויש עצמו אני אתן לכם רגע איזשהי אנקדוטה קטנה בסדר השרה קטנה אפשר
51:1551 דקות, 15 שניותבסדר אתם סגורים עלל הטכניקה הזאת קטנה לא בקטנה בקטנה אפשר מי שרוצה אוקיי מי שרוצה
51:2451 דקות, 24 שניותאפשר לקחת במקום תמונה של המצב הרצוי אוקיי לקחת תמונה של הוורס קס של איזה מין
51:3451 דקות, 34 שניותהודיתי אם תמשיכי בהרגל הזה ואז היא יכולה לדמיין כאן תמונה שלה עכשיו שמנה בטירוף
51:4251 דקות, 42 שניותבודדה מסריחה כזאת אוקיי שאנשים מתרחקים ממנה אוקיי אפשר לדמיין תמונה במצב השני
51:5351 דקות, 53 שניותשהיא תמונת כאב אוקיי הרי כאן זה תמונת או אנחנו אוהבים עונג אני בעד עונג זה אחלה אפשר גם אם אתם רוצים לקחת את זה קצת לרמה
52:0252 דקות, שתי שניותהכואבת יותר אתם יכולים לדמיין כאן תמונת כאב שבתמונה הזאת זה באמת הוורס cas זה
52:1152 דקות, 11 שניותכמו דיקנס קטן כזה זה אוק זה כמו דיקנס קטן קנס לא עש כ אני כן עכשיו אני אנחנו
52:2052 דקות, 20 שניותנעשה אותו היום גם אוקיי ואז אנחנו יכולים לדמיין את התמונת כאב ואז אני רואה את התמונה הזאת תמונת כאב תמונה נ הזא תמונת
52:2752 דקות, 27 שניותכאב ואז בכל פעם שהתמונה הזאת תעלה לה היא תיזכר למה היא לא רוצה לנקוט בפעולה כי זה מה שייקרה אוקיי זה טוב למי שהוא מונע
52:3652 דקות, 36 שניותמאוד מכאב זה נחמד כמובן שהעונה הוא שורד לזמן יותר ארוך אבל מי שרוצה גם אופציה
52:4352 דקות, 43 שניותלהשתמש בתמונה של הכאב אגב אני חושב שגם בתרגיל עם אח שלי הקטן אז אמרתי לו תדמיין
52:5052 דקות, 50 שניותאת עצמך בגלל שהוא ישב עם הרגל למטה והגרף שלו היה מקוף אמרתי לו תדמיין את עצמך
52:5652 דקות, 56 שניותגיבן ממש כפוף מכוער מגעיל כזה שחברים שלו צוחקים עליו ושהוא לא נראה טוב ובאמת
53:0453 דקות, 4 שניותעשינו את הסוויץ דווקא עם תמונה של עשיתי לו שני סוויש עשיתי לו סוויש אחד עם המצב של הכאב ואחד עם העונג אוקיי שמת לב
53:1253 דקות, 12 שניותלהבדלים באפקטיביות אני לא יודע א זה מעניין כאב יותר מניע לפעולה אני חושב שבטווח הקצר כאב עובד יותר טוב אבל
53:2253 דקות, 22 שניותשניהם עובדים בצורה פנומנלית עשיתי סווש זה אחת טכניקות שהייתי עושה הרבה מאוד גם בקבוצה אפשר לעשות אותה אם אני אומר לכם
53:3053 דקות, 30 שניותדמיינו רגע תמונה הרגל שלכם בסדר אפשר לעשות את זה ככה כמה דקות ואז אני רוצה להוציא אתכם לתרגול תרגול של 10 דקות לשני
53:3853 דקות, 38 שניותהצדדים אוקיי תחשבו על איזשהו הרגל שהייתם רוצים משהו בקטנה ככה לא יודע אנחנו עשינו פרקטישינר על לקום בבוקר ולא להיות בטלפון
53:4753 דקות, 47 שניותעל לא יודע ללכת לאימונים יותר לאכול בריא יותר הרגל כלשהוא קטן יש לכם איזשהו הרגל כזה מעצבן כזה שהייתם רוצים קצת להעיף
53:5653 דקות, 56 שניותאותו לאיחורים אוכל משהו בסגנון הזה כן כן הרגל
54:0354 דקות, 3 שניותכזה שהייתם רוצים קצת הרגל אכור תוצאה של איזהשהו אז כן במקרה הזה באיחור כן זה
54:1154 דקות, 11 שניותאולי יותר משהו של לאחר כן אפשר אפשר תלוי תלוי איך ברור
54:2054 דקות, 20 שניותשאפשר לבור א איך אתה יודע שהגיע הזמן לצאת ואז כא אפשר דלה אצל לא זה שאתה מאחר זה שאתה מאחר התוצאה
54:2954 דקות, 29 שניותש מתצ נכון ואז הייחור זה התוצאה כן זה הרגל אבל אפשר ללכת על איך אתה יודע שהגיע הזמן לצאת ואם אני רואה שמוקדם מדי ואז
54:3854 דקות, 38 שניותאני אומר לעצמי אה חכה עוד 10 דקות ואז תצא אז אני יכול לשחק על זה בסדר אוקיי יש
54:4554 דקות, 45 שניותלכם תמונות אתם יכולים לראות תמונה רגע של איזשהו טריגר מעצבן שהייתם רוצים להעיף אלד
54:5454 דקות, 54 שניותאלד אוקיי תחשבו רגע על כל אחד אוקיי בוא נעשה את זה יותר פשוט בואו נתחלק
55:0255 דקות, שתי שניותעכשיו ב ף היא רצתה להעיף את אלד לא את
55:0955 דקות, 9 שניותאלדד מה שהולך לקרות עכשיו 10 דקות אוקיי 10 דקות עד וחצי הולכים לעשות תרגול של
55:1855 דקות, 18 שניותסוויש הטכניקה הזאתי כל כך כל כך כל כך טובה שאני באמת רוצה שכל אחד מכם ידע אותה בצורה הכי טובה שיש מהסיבה שאנשים באמת
55:2655 דקות, 26 שניותבאמת אני אומר לכם תנסו אותה תבחנו אותי זה אחת הטכניקות היותר עוצמתיות והכי פשוטות שיש בסדר אז דיברנו על הסדר פעולות
55:3555 דקות, 35 שניותדיברנו על תמונה אוקיי אנחנו מדברים בן אדם שרוצה להפסיק הרגל מסוים אנחנו רוצים
55:4255 דקות, 42 שניותלהבין מה הטריגר רוצים להבין מה המצב הרצוי מוציאים תמונה מהטריויה
55:4955 דקות, 49 שניותהרצוי ואז אחר כך אומרים לו לדמיין תמונה בתוך תמונה 3 2 1 סוויש ככה כמה וכמה וכמה
55:5755 דקות, 57 שניותוכמה פעמים אוקיי ברגע שאנחנו עושים את זה כמה וכמה וכמה פעמים אנחנו שטלים את
56:0356 דקות, 3 שניותהסוגסטיה של גם אם תנסה לדמיין את התמונה של המצב המצוי לא תוכל יס יאללה להתחלק
56:1356 דקות, 13 שניותלזוגות אנחנו יוצאים לתרגל יש לכם אותי יש לכם את המנטור אז עשינו סוויש איך היה
56:2156 דקות, 21 שניותלכם שתפו ספרו ה ה כן מעולה מתן איך
56:2856 דקות, 28 שניותהיה סבבה כן ראיתי אותך ומ ניסים שם חוגגים יס מעולה אני דורש את השירים של
56:3656 דקות, 36 שניותהפיג'מות עוד פעם לא כל כך יפים אושרי איך היה
56:4256 דקות, 42 שניותלכם כן המוזיל הייתה נכון
56:4756 דקות, 47 שניותמעולה אוקיי אהבתי לדד איך היה לכם כן איך נכון טכניקה כיפית קלה
56:5756 דקות, 57 שניותמוד ואני אומר לכם אל תאמינו לי תבחנו אותי אל תאמינו לי תנסו אותי ך יר מ ל
57:0457 דקות, 4 שניותבמטה מודל כאילו כן היא מאוד פשוטה הטכניקה הזאת היא טכניקה שבמהות שלה אנחנו באים ואנחנו שוברים הרגלים התנהגויות
57:1357 דקות, 13 שניותבמהות שלה היא מאוד מאוד מאוד מאוד טובה היו עוד טכניקות שכאילו שמו מכשירים
57:2057 דקות, 20 שניותכזה על אנשים למוח כאילו כדי לראות איך הם עובדים בחלק כן אני יודע ספציפית ש סוויש נבחן באוניברסיטת תל אביב
57:2857 דקות, 28 שניותא ואני הסיבה שהיא עובדת בצורה כל כך טוב זה שהיא יוצרת התניה באמת באמת ברמת הלא
57:3657 דקות, 36 שניותמודע כבר אוקיי אגב אפשר לעשות סוויש למשל אם יש לי רגלים של תמונות שאני רואה שאני
57:4457 דקות, 44 שניותלא אוהב לראות אני יכול לקחת ולעשות על זה סוויש אוקיי סוויש זה גם טכניקה שאפשר לעשות לעצמנו תמונות שמטרידות אותי בראש
57:5257 דקות, 52 שניותתמונות שלא נעימות לי בכיף אפשר לעשות על זה סוויש זה כל אני רואה את התמונה אני רואה את התמונה
57:5957 דקות, 59 שניותשאני רוצה ואז אני מתחיל להחליף ביניהם לא זה נראה לי קצת מסובך בגלל שאתה צריך לבלבל את עצמך זה קצת תמונה שאני לא
58:0858 דקות, 8 שניותלמשל עכשיו לא יודע א כל פעם שאני סתם אני זורק מקרים טיפה טיפה טיפה קיצוניים בסדר
58:1558 דקות, 15 שניותלא אמיתיים אבל למשל בכל פעם שאני רואה בן אדם מסוים או סתם בוא ניקח דוגמה
58:2358 דקות, 23 שניותמדומ כל פעם שאני רואה את אבא שלי עולה לי תמונה שלו מרבית לי נניח נגיד ש אז אני יכול את התמונה הזאת לשחק איתה ולשנות
58:3158 דקות, 31 שניותלתמונה אחרת זאת אומרת אני יכול אני יכול לקחת תמונות שמטרידות אותי לאורך היום ולהתחיל קצת לשנות אותם
58:4158 דקות, 41 שניותאוקיי זהו לעצמי זה יהיה יותר קשה
58:4758 דקות, 47 שניותכמובן לא אני כאילו מצב כזה לות זה הרבה יותר מורכב כאילו נכון אבל אבל זה מאוד
58:5558 דקות, 55 שניותמורד את רגשי לפי דעתי אני אישית יצא לי לעשות את זה למישהו שאמר לי אני פוחד להתחיל עם בנות אני פוחד לגשת לבנות ו
59:0459 דקות, 4 שניותנכנס כשנכנסנו לתוך זה ראיתי שהטילו היה אני רואה בחורה אני חושב על זה שאני צריך להתחיל איתה עולה לי פחד ואז עשינו על זה
59:1259 דקות, 12 שניותסוויש והוא אמר לי שלטווח הארוך פתאום אין לו לחץ אין לו את הפחת הזה אין לו רגש לא עולה לוס של מהס מה מה זאת אומרת היה לו
59:2359 דקות, 23 שניותהיה לו תמונה של הוא רואה את הבחורה זה היה הטריגר בחורה ואז ה ולה ללא אני צריך לכת להתחיל איתה ואז מתחיל כל התהליך
59:2959 דקות, 29 שניותהמחשבתי אז אז אני תפסתי את התמונה של אני רואה את הבחורה ואז על זה עשיתי סוויש כי הוא אמר כי הוא אמר לי זה אם אני אצליח
59:3859 דקות, 38 שניותלעשות את זה אני אהיה בן אדם מאוד מפותח אישית אני אהייה הבן אדם האידיאלי שאני רוצה להיות כאילו זה היה זה היה כזה המשחק
59:4459 דקות, 44 שניותשעשיתי אוקיי שתי שאלות קטנות כן בא אקולוגי לא צריך יותר מדי שם נכון
59:5459 דקות, 54 שניותכאילו זה פשוט אני רוצה להחליף כן אני אני אגיד לך אני יכול להיות מצב
1:00:021 שעה, שתי שניותאוקיי יכול להיות מצב של אקולוגיה כי כל שינוי דורש איזשהי מחיר קטן של אקולוגיה כל שינוי שאנחנו רוצים לעשות בחיים אם
1:00:111 שעה, 11 שניותהמחיר גדול מאוד מאוד אז אז לא בהכרח מה שכן נתתי את הדוגמה גם של של לעשן סיגריות
1:00:191 שעה, 19 שניותגם אם סוויש אפשר להפסיק לעשן זאת אומרת זה לא בהכרח אני אצטרך לבחון אקולוגי איך
1:00:261 שעה, 26 שניותאני אדע שיש בעיית אקולוגיה הדבר הראשון יכול להיות וכאן אני
1:00:321 שעה, 32 שניותרוצה רגע לת לתת את ה קצת מהניסיון שלי בסדר זה שפעם אחת סוויש לא עבד לי לא אומר
1:00:401 שעה, 40 שניותשהוא לא באמת עבד יכול להיות שלא ייקנו את הטריגר מספיק אוקיי החלק הכי חשוב באמת
1:00:481 שעה, 48 שניותבתכלס בסוויץ אוקיי כמו כל טכניקה זה מטה מודל אם אני לא מספיק מבין את הטר
1:00:571 שעה, 57 שניותאת הדבר שמפעיל אותי אז אני אעשה סווש על הטריגר הזה אבל זה בכלל אמור להיות הטריגר הזה ואז יגיע הטריגר השני ואז אני אמשיך
1:01:061 שעה, 1 דקה, 6 שניותבפעולה לכן השלב הכי חשוב בוויש זה חשוב שתרשמו את זה גם לעצמכם זה באמת לדייק את
1:01:141 שעה, 1 דקה, 14 שניותהטריגר כמה שיותר ממש ממש לקחת את הטריגר הכי מדויק שיש ואז אחריו יהיה כבר יותר קל
1:01:211 שעה, 1 דקה, 21 שניותלעשות את התהליך אן דוגמה של מה שהיה כאילו נגיד לפני שמריח פיצה אז אמרתי טוב
1:01:311 שעה, 1 דקה, 31 שניותהוא הריח פיצה הוא יודע שהגיע הזמן ואז אמרתי טוב אז תדמיין לפני הביס כאילו זה ה אז כאן זה כבר אחרי שהוא כבר
1:01:401 שעה, 1 דקה, 40 שניותהתחיל בפעולה אם הוא אומר לי כן אני מריח את הפיצה ואז אני רואה תמונה שלה בראש אז אומר אוקיי קח את התמונה הזאת מעולה עליה
1:01:501 שעה, 1 דקה, 50 שניותאנחנו נעבוד אוקיי אבל כאן א וחשוב לי שנייה לתת עוד סע כי זה באמת באמת חשוב בטריגר יש טריגר פנימי ויש
1:02:001 שעה, שתי דקותחיצוני אוקיי אני צריך להבין מה הטריגר יכול להיות טריגר חיצוני אבל ברוב המקרים ברוב המקרים טריגר חיצוני יפעיל לי טריגר
1:02:101 שעה, שתי דקות, 10 שניותשהוא פנימי ברוב המקרים טריגר חיצוני יפעיל לי טריגר שהוא פנימי אני רוצה ממש לראות מה קורה בתוך המוח של הבן אדם
1:02:171 שעה, שתי דקות, 17 שניותלחלקיק שנייה וחשוב מהעיניים שלו אוקיי אני רוצה לראות מה מה הטריגר אם
1:02:251 שעה, שתי דקות, 25 שניותזה טריגר סוני אז אני רוצה לדעת מהעיניים שלו בדיוק אני רוצה ממש שהוא יתאר לי
1:02:321 שעה, שתי דקות, 32 שניותסיטואציה מהעיניים שלו שקורת ששם אני צריך להתערב אם רגע נחשוב על זה עוד מעט גם אנחנו נעשה שיבוש אסטרטגיה אבל לפני זה
1:02:391 שעה, שתי דקות, 39 שניותנעשה דיקנס אבל אם נחשוב על זה רגע אתם זוכרים את השיעור על אסטרטגיות כן זוכרים
1:02:461 שעה, שתי דקות, 46 שניותאת המודל של טוט אזה כ אוקיי הרי
1:02:521 שעה, שתי דקות, 52 שניותבסוף סוויש זה שיבוש אסטרטגיה זוא סווש זה שיבוש אסטרטגיה ויזואלית אני
1:03:011 שעה, 3 דקות, 1 שניההולך למקום מסוים אני רואה את המאפיה אני מדמיין בראש שלי מאפה בורקס אני הולך
1:03:081 שעה, 3 דקות, 8 שניותלקנות את המאפה הבורקס הדמיון עצמו ביח בסך הפנימי אשר להיכנס כן בדיוק ואז אני
1:03:161 שעה, 3 דקות, 16 שניותרוצה הרי בסוף יש כאן איזשהו תהליך בוא ניקח את הדוגמה עכשיו
1:03:221 שעה, 3 דקות, 22 שניותשל אני אני לומדת בסדר קח את הדוגמה אוקיי אני לא אני
1:03:291 שעה, 3 דקות, 29 שניותלומדת אוקיי ואז אני הולכת ל לא יודע לאיפד ואז אחר כך אני אומרת לעצמי y איך
1:03:391 שעה, 3 דקות, 39 שניותבא לי גלידה ואז אני מדמיינת בראש את התמונה
1:03:471 שעה, 3 דקות, 47 שניותאוקיי תמונה של גלידה אני יכול להתערב באיך בא לי גלידה זה אנחנו נעשה את זה בשיבוש אסטרטגיה שיבוש אסטרטגיה זה משהו
1:03:561 שעה, 3 דקות, 56 שניותשוא יותר הולך על אודיטורי סווש זה יותר הולך על ויזואלי
1:04:041 שעה, 4 דקות, 4 שניותאוקיי אז אנחנו נלך ונתערב כאן ואז אנחנו משבשים את האסטרטגיה בצורה ויזואלית פה
1:04:121 שעה, 4 דקות, 12 שניותבסדר היו עוד שאלות לרוב
1:04:221 שעה, 4 דקות, 22 שניותבפנימי רגע הסיבה למה דווקא בפנימי אני הרבה פע ארצה להתערב כי יכול להיות שיהיה לי הרב הרבה טריגרים חיצוניים שיפעילו לי
1:04:301 שעה, 4 דקות, 30 שניותטריגר פנימי אחד אז אם אני מתערב על טריגר פנימי אחד אז השליטה יותר חוזרת אליי א
1:04:371 שעה, 4 דקות, 37 שניותהידיים בסדר איך אני יודע אבל שזה הטריגר הנכון לפי רצף של אירועים
1:04:441 שעה, 4 דקות, 44 שניותמהעבר נניח יש לך דוגמה ל שני יכול לעבוד איתה א לא משהו ספציפי אבל אם אני עושה על
1:04:531 שעה, 4 דקות, 53 שניותבן אדם לצורך העניין איך אני יודע לזהות עליו באמת הטריגר אם אני עושה לבן אדם את הטכניקה איך אני יודע עליו לראות שזה באמת
1:05:021 שעה, 5 דקות, שתי שניותהטריגר הנכון שלו לפי מה שהוא אומר לי אני אומר לו איך אתה יודע שהגיע הזמן להתחיל בפעולה ואז אני אומר לו אתה יכול לדמיין
1:05:111 שעה, 5 דקות, 11 שניותממש את הפעולה רגע לפני שאתה עושה את זה דמיין לי את כל סדר הפעולות ואז הוא אומר לי מה הסדר הפעולות ושם אני מחפש את הדבר
1:05:191 שעה, 5 דקות, 19 שניותעכשיו הרבה פעמים הוא לא לא יהיה לו תמונה ישר בראש אומר תגיד יכול להיות לחצי שנייה למעט שניה היה לך איזה תמונה כזאת בראש זה
1:05:271 שעה, 5 דקות, 27 שניותמרגיש לך נכון זה מרגיש לך הגיוני כמו שהי מודה ו אומרת לי וואלה כן אתה יודע מה יש מצב אוקיי סבבה בוא ניקח את התמונה הזאת
1:05:371 שעה, 5 דקות, 37 שניותבסדר זה יכול לעבוד עם טיקים א השאלה היא איך אתה יודע שהגיע
1:05:451 שעה, 5 דקות, 45 שניותהזמן לעשות טיקים כי גם כאן יש טריג אני אומר במחקר אמיתי אם רגע היינו עוצרים כאן
1:05:531 שעה, 5 דקות, 53 שניותהכל ובודקים את זה היינו מוצאים איזשהו טריגר שגורם לתיקים
1:05:591 שעה, 5 דקות, 59 שניותלהיות אוקיי אם הייתי אומר לך תקשיב זה שאלה של שיבוש אסטרטגיה אבל זה שאלה מעולה גם
1:06:061 שעה, 6 דקות, 6 שניותלוויש אני אני עכשיו הולך להצגה ואני הולך לעשות שם
1:06:131 שעה, 6 דקות, 13 שניותאיזשהו משחק של בן אדם שיש לו טיקים אתה יכול ללמד אותי איך אני עושה את זה אתה יכול רגע להסביר לי מה אני צריך
1:06:221 שעה, 6 דקות, 22 שניותלעשות כדי לעשות את זה כן כן תסביר לי
1:06:291 שעה, 6 דקות, 29 שניותאה זה צריך לבוא ברגעים לא מתוכננים איך אתה יודע שרגע הוא לא מתוכנן
1:06:371 שעה, 6 דקות, 37 שניותשימו לב כמה אני יכול לרדת לעומק מה צריך להיות ברגע שהוא לא
1:06:441 שעה, 6 דקות, 44 שניותמתוכנן זה זה זה בדיוק להבין את התהליך השיבה השאלה הזאת שאלה נהדרת שאלה נהדרת
1:06:511 שעה, 6 דקות, 51 שניותעכשיו אני הולך לעשות הצגה ואני הולך לש דמות של מישהו עם טיקים תלמד אותי איך אני
1:06:571 שעה, 6 דקות, 57 שניותעושה טיקים ממש תסביר לי זה טוב בסדר תחשוב על זה בסדר י תחשוב על זה סוף שיעור
1:07:041 שעה, 7 דקות, 4 שניותאולי כן כן כן תחשוב על זה בקשר של איך לזהות את הטריגר הנכון
1:07:121 שעה, 7 דקות, 12 שניותשאלה שעבדה לי ששהו שאלתי סינו לחשו על טריגר מסוים ואני שאלתי ומה יהיה עם אם לא
1:07:201 שעה, 7 דקות, 20 שניותיהיה את האקט הזה ואז אה אוקיי יש לי מאיפה להביא את זה עם מקום אחר ואז עברנו בעצם הבנו שזה לא הטריגר שלת עבות ובנו
1:07:281 שעה, 7 דקות, 28 שניותלטריגר אחר מעולה זא אומרת לפעמים גם אפשר לשאול תכלס אם לא נעשה את הפעולה הזאת האם זה יביא את התוצאה או שיש איזשהיא דרך
1:07:351 שעה, 7 דקות, 35 שניותאחרת להגיע לתוצאה במקרה ודבר כזה לא יק יס מעולה אחלה אחלה כיוון נראה לי שנעבור
1:07:431 שעה, 7 דקות, 43 שניותלטכניקה הבאה אוקיי סגרנו סוויש אני רוצה עכשיו לגעת איתכם בטכניקה שנקראת דקנס
1:07:501 שעה, 7 דקות, 50 שניותאוקיי כרגע בטכניקה הזאת אני יכול להגיד לם שהטכניקה הזא זה הטכניקה הכי מדוברת אצל טוני
1:08:001 שעה, 8 דקותרובינס הסינ שלה כן עשינו אותה בפרטנר אבל אני רוצה גם היום אנחנו באים בעיקר בעיקר
1:08:071 שעה, 8 דקות, 7 שניותלתרגל ולחזור על החומר כדי להכין למבחן זה הכאב לעתיד כן זה הכאב לעתיד אוקיי מה שבעצם קורה אני אסביר לכם את
1:08:161 שעה, 8 דקות, 16 שניותהטכניקה אני אסביר לכם למה היא כל כך כל כך חזקה ו וחשוב מאוד גם בעיקר איך עושים אותה אצל
1:08:241 שעה, 8 דקות, 24 שניותטוני רובינס ל מה שעושים אצלו בטכניקה הזאת יש שם סינג מאוד מאוד מאוד מאוד חזק לטכניקה הזאת
1:08:331 שעה, 8 דקות, 33 שניותברמה של כולם יודעים שהולך להיות טכניקה מאוד מאוד חזקה זה דומה אם אני אביל את זה לציר זמן
1:08:411 שעה, 8 דקות, 41 שניותעשינו טיזינג מאוד מאוד חזק לטכניקה של הציר זמן וכש הגיע באמת היא השפיעה חזק על הרבה מהחבר'ה שעשו את זה לפחות אצלי בערב
1:08:481 שעה, 8 דקות, 48 שניותגם ראיתי אצל ידן זאת אומרת כל כך עשינו הכנה לטכניקה שכאילו ברגע שהא הגיע אז היא הציפה הרבה מאוד דבר
1:08:561 שעה, 8 דקות, 56 שניותפש לשל למה קוראים לזה דק דקנס בגדול השם של זה זה גם פיצול קו הזמן לגבי המילה
1:09:041 שעה, 9 דקות, 4 שניותספציפית אני לא באמת יודע אבל בעברית אנחנו קוראים לה פיצול קו הזמן בעצם היום
1:09:111 שעה, 9 דקות, 11 שניותיש לי למשל זה יכול להיות אגב הטכניקה הזאת יכולה להיות על הרגלים ה יכולה להיות
1:09:171 שעה, 9 דקות, 17 שניותעל אמונות ה יכולה להיות אפילו על זהות היא יכולה להיות על התנהגויות באמת הא יכולה להיות על כל הרמות הלוגיות א
1:09:261 שעה, 9 דקות, 26 שניותהיא טכניקה אדירה פשוטה להפליא כל הטכניקות כאן באמת אני רוצה כמה שיותר שתצאו עם טכניקות באמת ברמת
